Respondent,Hobby,OpenSource,Student,Employment,FormalEducation,UndergradMajor,CompanySize,YearsCoding,YearsCodingProf,JobSatisfaction,ConvertedSalary,NumberMonitors,CheckInCode,WakeTime,HoursComputer,HoursOutside,SkipMeals,Exercise,Age
79,Yes,Yes,No,Employed full-time,Md,Cd,6,7,6,2,162100,2,2,6,4,0,1,0,4
80,Yes,No,No,Employed full-time,Bd,In,2,3,2,-2,68000,1,5,3,3,0,0,2,3
81,Yes,No,No,Employed full-time,Bd,Cd,4,4,1,-1,75000,2,5,2,3,1,1,2,2
82,Yes,Yes,No,Employed full-time,,,6,4,2,1,684000,3,5,4,3,0,1,0,2
83,Yes,No,"Yes, part-time",Employed full-time,Bd,Hs,5,2,2,-2,80000,2,5,3,2,2,0,3,3
84,No,No,No,Employed full-time,Bd,Ar,8,2,1,1,2.00E+06,3,4,4,2,0,0,0,3
85,Yes,Yes,No,Employed full-time,Bd,Cd,6,4,3,-2,2.00E+06,2,5,3,2,1,0,1,3
86,Yes,No,No,Employed full-time,Bd,Cd,8,4,3,-3,80000,3,4,4,3,0,3,0,3
87,Yes,Yes,No,Employed full-time,Md,Ae,3,7,6,3,136500,2,4,4,3,1,0,0,4
88,Yes,No,No,Employed full-time,Md,Ma,6,7,6,-2,110000,2,2,3,3,1,1,0,5
89,No,No,No,Employed full-time,Bd,Bu,3,8,8,1,105000,3,5,2,2,2,1,3,5
90,No,No,No,Employed full-time,Bd,Cd,5,2,2,1,55000,2,2,3,4,1,0,0,3
91,Yes,No,No,Employed full-time,Bd,Cd,8,4,2,3,150150,2,5,3,2,2,0,3,3
92,Yes,No,No,Employed full-time,Bd,Hu,6,1,1,-1,63000,2,3,2,2,2,1,0,3
93,Yes,No,No,Employed full-time,Bd,Cd,5,11,9,-2,127000,2,3,4,3,0,0,0,5
94,Yes,Yes,No,Employed full-time,Bd,Cd,6,6,5,3,130000,2,5,1,3,0,0,2,4
95,Yes,Yes,No,Employed full-time,Md,Cd,8,2,2,2,85000,2,3,4,3,2,2,0,3
96,Yes,Yes,No,Employed full-time,Bd,Cd,8,3,2,2,175000,2,3,5,4,1,1,0,3
97,Yes,No,No,Employed full-time,Bd,Cd,6,3,2,-2,58000,2,3,4,2,1,0,1,3
98,Yes,Yes,"Yes, full-time",Employed part-time,Nd,,2,1,1,2,30000,2,0,3,2,2,1,2,2
99,Yes,Yes,No,Employed full-time,Bd,Cd,3,6,3,2,125000,3,5,3,4,2,3,2,3
100,Yes,No,No,Employed full-time,Bd,Ma,7,7,6,3,2.00E+05,2,3,2,3,1,1,0,4
101,No,No,No,Employed full-time,Bd,We,4,8,6,2,140000,3,3,2,2,1,0,2,4
102,Yes,No,No,Employed full-time,Bd,Cd,4,11,11,1,142000,2,3,5,3,1,0,0,6
103,No,No,No,Employed full-time,Bd,Cd,6,3,2,2,88000,2,5,3,2,0,0,0,3
104,Yes,Yes,"Yes, full-time",Employed part-time,Nd,Cd,6,2,2,1,2.00E+06,2,5,5,2,2,0,0,2
105,No,No,No,Employed full-time,Bd,Cd,4,4,1,3,110000,1,5,4,2,1,0,1,2
106,Yes,No,No,Employed full-time,Bd,Cd,5,5,3,2,83000,2,4,4,2,1,3,0,3
107,Yes,Yes,No,Employed full-time,Nd,No,4,6,4,0,72000,3,5,4,3,0,1,2,3
108,Yes,No,No,Employed full-time,Bd,Cd,3,2,1,1,53000,3,5,4,3,1,0,0,2
109,Yes,No,No,Employed full-time,Bd,Hu,8,2,2,2,85000,3,5,4,2,1,0,2,3
110,Yes,No,No,Employed full-time,Md,Cd,2,4,2,3,75000,3,5,3,2,0,0,3,3
111,Yes,No,No,Employed full-time,Bd,Cd,8,4,2,-1,72000,3,3,5,3,0,1,0,3
112,Yes,Yes,No,Employed part-time,Md,Ns,4,2,2,1,120000,2,5,3,3,0,1,2,4
113,No,No,No,Employed full-time,Bd,Cd,8,2,1,2,107000,3,5,5,3,1,1,1,2
114,Yes,Yes,No,Employed full-time,Nd,Ar,3,2,2,0,110000,2,5,4,3,1,1,1,3
115,Yes,No,No,Employed full-time,Bd,Hu,8,1,1,2,85000,1,5,4,2,2,0,2,3
116,Yes,No,No,Employed full-time,Ad,Cd,6,4,1,3,96000,2,5,3,4,1,3,0,3
117,Yes,Yes,No,Employed full-time,Nd,,4,11,3,0,60000,2,5,5,3,2,1,1,4
118,Yes,Yes,No,Employed full-time,Nd,Cd,4,4,3,0,94000,1,3,5,3,0,3,0,3
119,Yes,No,"Yes, full-time",Employed part-time,Sd,,1,4,2,3,6500,2,5,0,1,2,0,0,2
120,Yes,Yes,No,Employed full-time,Bd,Cd,3,4,2,2,76000,4,5,3,3,1,1,1,3
121,No,Yes,No,Employed full-time,Prd,Ae,8,11,,,,,,2,1,4,2,2,
122,Yes,No,"Yes, full-time",Employed full-time,Bd,Cd,2,5,4,-2,85000,,,4,3,1,1,3,
123,Yes,No,No,Employed full-time,Nd,Ar,2,5,4,3,130000,2,5,2,3,1,0,0,
124,No,Yes,"Yes, part-time",Employed full-time,Bd,Cd,7,3,1,2,95000,2,5,2,2,1,0,2,3
125,Yes,No,No,Employed full-time,Bd,Cd,4,2,2,0,80000,1,4,4,3,2,1,3,3
126,Yes,No,"Yes, full-time",Employed part-time,Nd,Cd,7,2,1,-1,50400,2,3,4,2,1,2,2,2
127,Yes,No,No,Employed full-time,Nd,Cd,6,9,5,2,130000,2,3,4,2,2,0,0,4
128,Yes,Yes,No,Employed full-time,Bd,Cd,8,5,2,2,141000,2,3,7,4,0,3,0,3
129,Yes,No,"Yes, full-time",Employed full-time,Bd,Ae,7,5,3,3,40000,2,2,0,3,2,2,2,3
130,No,No,No,Employed full-time,Bd,Cd,4,3,2,2,102000,2,5,2,3,2,0,2,3
131,Yes,No,No,Employed full-time,Bd,Ar,4,2,1,2,75000,1,5,3,4,1,0,1,3
132,Yes,Yes,No,Employed full-time,Bd,Ns,3,3,3,2,130000,1,5,5,3,0,2,0,4
133,Yes,No,No,Employed full-time,Bd,Cd,3,4,3,2,87000,2,5,3,3,0,1,1,3
134,Yes,Yes,No,Employed full-time,Odd,Ma,3,5,4,2,3.00E+05,2,4,5,3,1,0,1,4
135,Yes,Yes,No,Employed full-time,Bd,Cd,8,4,3,2,150000,3,3,5,3,2,0,2,3
136,No,No,No,Employed full-time,Bd,Cd,3,9,8,3,132000,1,1,5,4,0,0,2,4
137,Yes,Yes,No,Employed full-time,Bd,Cd,8,9,9,2,107000,1,5,4,3,3,1,3,5
138,Yes,No,No,Employed full-time,Bd,Cd,4,6,6,1,115000,3,5,2,2,2,1,1,4
139,Yes,No,No,Employed full-time,Nd,Cd,6,5,5,3,102000,2,5,2,2,2,0,2,4
140,Yes,Yes,No,Employed full-time,Bd,In,4,6,4,3,122300,2,5,3,4,0,2,1,3
141,Yes,No,No,Employed full-time,Bd,,3,2,2,2,68500,2,5,2,3,0,0,3,2
142,Yes,Yes,No,Employed full-time,Bd,Cd,3,3,2,3,94000,3,5,7,2,0,0,2,2
143,Yes,Yes,No,Employed full-time,Bd,Ss,3,2,1,2,120000,1,5,5,2,2,2,2,3
144,Yes,No,No,Employed full-time,Nd,Bu,3,11,11,-2,170000,1,5,3,3,1,1,0,5
145,Yes,Yes,No,Employed full-time,Bd,In,8,1,1,2,60000,3,3,4,3,0,0,0,2
146,Yes,No,No,Employed full-time,Bd,Cd,1,4,1,2,1.00E+05,3,5,4,3,2,3,2,2
147,Yes,Yes,No,Employed full-time,Md,Cd,2,7,6,1,115000,2,4,4,3,2,0,3,4
148,Yes,No,No,Employed full-time,Bd,Ma,4,1,1,-2,52000,,,4,2,1,0,0,
149,Yes,Yes,No,Employed full-time,Md,Cd,6,6,3,2,41276,2,3,3,3,1,0,0,3
150,Yes,No,No,Employed full-time,Nd,Cd,8,7,4,3,2.00E+05,2,3,4,2,1,1,2,4
151,Yes,No,No,Employed full-time,Md,Cd,1,6,4,3,,1,3,2,2,2,0,1,3
152,Yes,No,No,Employed full-time,Md,In,5,4,2,2,960000,3,5,2,2,1,0,2,3
153,Yes,Yes,No,Employed full-time,Bd,,3,2,2,3,120000,3,5,5,3,1,0,0,3
154,Yes,No,No,Employed full-time,Md,Ae,6,2,1,-2,130000,3,5,2,2,2,1,3,3
155,Yes,Yes,No,Employed full-time,Bd,Bu,4,2,1,-1,57000,3,5,4,3,1,0,2,3
156,Yes,No,No,Employed full-time,Bd,Cd,4,3,3,-2,85000,3,5,2,3,1,3,1,3
157,Yes,No,No,Employed full-time,Sd,,3,11,11,1,92000,1,5,4,4,0,1,0,5
158,Yes,Yes,No,Employed full-time,Bd,Cd,4,11,11,2,140000,3,4,2,4,2,0,2,5
159,Yes,No,No,Employed full-time,Bd,Cd,4,3,2,2,105000,1,5,5,3,1,1,2,3
160,Yes,Yes,No,Employed full-time,Nd,Ae,4,5,2,3,37000,3,5,3,2,1,0,0,3
